Set,Damage,DPS,Weapon_Damage,Weapon_DPS,Weapon_PCT,Passive2_Damage,Passive2_DPS,Passive2_PCT,Gadget1_Damage,Gadget1_DPS,Gadget1_PCT,Passive1_Damage,Passive1_DPS,Passive1_PCT,Gadget2_Damage,Gadget2_DPS,Gadget2_PCT,Gadget3_Damage,Gadget3_DPS,Gadget3_PCT,Passive3_Damage,Passive3_DPS,Passive3_PCT,_Damage,_DPS,_PCT,_Damage,_DPS,_PCT,_Damage,_DPS,_PCT,
String,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,Int,Int,Float,
StartingWeapon,35100,117.000000,35100,117.000000,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
MultishotBow,21216,70.720001,21216,70.720001,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
BigPetWeapon,31189,103.963333,31189,103.963333,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
HealingSword,19215,64.050003,19215,64.050003,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
SpellSword1,42126,140.419998,5676,18.920000,0,0,0.000000,0,36450,121.500000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
SpellSword2,44682,148.940002,5532,18.440001,0,0,0.000000,0,39150,130.500000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
SpellSword3,74229,247.429993,5004,16.680000,0,0,0.000000,0,69225,230.750000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
SpellSword4,73752,245.839996,5352,17.840000,0,0,0.000000,0,68400,228.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
WhirlwindAxe,30862,102.873337,30862,102.873337,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
BeastMasterStaff,30182,100.606667,30182,100.606667,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
SwordAndShield,15708,52.360001,15708,52.360001,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
HealingStaff,18792,62.639999,18792,62.639999,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
Bombs,33480,111.599998,33480,111.599998,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
DoubleDaggers,29900,99.666664,29900,99.666664,1,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0,0,0.000000,0
