Name,TID,Disabled,ExistsApple,ExistsAndroid,ExistsSCStore,Diamonds,USD,IconSWF,IconExportName,ShopItemExportName,OfferItemExportName,Order,RMB,TencentID,IsInChronos,GeoSet,IsPassProduct,PromoLabelTID,IsRealBillingPackage
String,String,boolean,boolean,boolean,boolean,int,int,String,String,String,String,int,int,String,boolean,int,boolean,String,boolean
com.supercell.rogue.offer029,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,29,sc/ui.sc,,,,0,,,TRUE,,,,TRUE
com.supercell.rogue.offer039,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,39,sc/ui.sc,,,,1,,,TRUE,,,,TRUE
com.supercell.rogue.offer049,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,49,sc/ui.sc,,,,2,,,TRUE,,,,TRUE
com.supercell.rogue.offer059,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,59,sc/ui.sc,,,,3,,,TRUE,,,,TRUE
com.supercell.rogue.offer069,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,69,sc/ui.sc,,,,4,,,TRUE,,,,TRUE
com.supercell.rogue.offer079,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,79,sc/ui.sc,,,,5,,,TRUE,,,,TRUE
com.supercell.rogue.offer089,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,89,sc/ui.sc,,,,6,,,TRUE,,,,TRUE
com.supercell.rogue.offer099,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,99,sc/ui.sc,,,,7,,,TRUE,,,,TRUE
com.supercell.rogue.offer109,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,109,sc/ui.sc,,,,8,,,TRUE,,,,TRUE
com.supercell.rogue.offer119,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,119,sc/ui.sc,,,,9,,,TRUE,,,,TRUE
com.supercell.rogue.offer129,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,129,sc/ui.sc,,,,10,,,TRUE,,,,TRUE
com.supercell.rogue.offer139,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,139,sc/ui.sc,,,,11,,,TRUE,,,,TRUE
com.supercell.rogue.offer149,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,149,sc/ui.sc,,,,12,,,TRUE,,,,TRUE
com.supercell.rogue.offer159,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,159,sc/ui.sc,,,,13,,,TRUE,,,,TRUE
com.supercell.rogue.offer169,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,169,sc/ui.sc,,,,14,,,TRUE,,,,TRUE
com.supercell.rogue.offer179,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,179,sc/ui.sc,,,,15,,,TRUE,,,,TRUE
com.supercell.rogue.offer189,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,189,sc/ui.sc,,,,16,,,TRUE,,,,TRUE
com.supercell.rogue.offer199,TID_SPECIAL_OFFER,FALSE,TRUE,TRUE,TRUE,,199,sc/ui.sc,,,,17,,,TRUE,,,,TRUE
