Name,OrderNumber,Category,TaskType,Paragon,AchReq,Season,ParagonTokenReward,Disabled,XpLevelReq,EndgameLevelReq,LocReq,GearCondition,MonsterCondition,LocCondition,EventTypeCondition,LocTypeCondition,BossRequiredCondition,GearTypeCondition,TargetLevelCondition,TotalProgress,TargetTime,XpReward,SkinReward,NeverDisplayAsNew,SkinTokenReward,TID,Hidden,VisibleOnlyInMatchingSeason
string,int,int,int,boolean,string,int,int,boolean,int,int,string,string,string,string,string,string,boolean,string,int,int,int,int,string,boolean,int,string,boolean,boolean
XP10_1_FindChest,1001,101,2,,,,,,,,,,,W01_OA01,,,,,,10,,1000
XP10_2_HuntMap,1002,101,1,,,,,,,,,,,W01_OA01,,,,,,750,,1000
,,,,,,,,,,,,,,,,,,,,2000,,1500
,,,,,,,,,,,,,,,,,,,,4500,,2000
XP10_5_HuntMonster,1005,101,1,,,,,,,,,,DragonlingStrongSlammer,W01_OA01,,,,,,30,,1000
,,,,,,,,,,,,,,,,,,,,60,,1500
,,,,,,,,,,,,,,,,,,,,150,,2000
XP10_8_Protect,1008,101,1,,,,,,,,,,DragonlingProtect,W01_OA01,,,,,,5,,1000
,,,,,,,,,,,,,,,,,,,,10,,1500
,,,,,,,,,,,,,,,,,,,,30,,2000
XP10_11_HuntBoss,1011,101,1,,,,,,,,,,DragonlingBossEasyOpen,W01_OA01,,,,,,6,,1000
,,,,,,,,,,,,,,,,,,,,15,,1500
,,,,,,,,,,,,,,,,,,,,40,,2000
XP10_14_HuntMonster,1014,101,1,,,,,,,,,,Meat,W01_OA01,,,,,,4,,1000
,,,,,,,,,,,,,,,,,,,,10,,1500
,,,,,,,,,,,,,,,,,,,,25,,2000
XP10_17_FindChest,1017,102,2,,,,,,,,W01_OA02,,,W01_OA02,,,,,,10,,1000
XP10_18_HuntMap,1018,102,1,,,,,,,,W01_OA02,,,W01_OA02,,,,,,750,,1000
,,,,,,,,,,,,,,,,,,,,2000,,1500
,,,,,,,,,,,,,,,,,,,,4500,,2000
XP10_21_HuntMonster,1021,102,1,,,,,,,,W01_OA02,,DragonlingStrongSlammer,W01_OA02,,,,,,30,,1000
,,,,,,,,,,,,,,,,,,,,60,,1500
,,,,,,,,,,,,,,,,,,,,150,,2000
XP10_24_Protect,1024,102,1,,,,,,,,W01_OA02,,RunningNpc,W01_OA02,,,,,,40,,1000
,,,,,,,,,,,,,,,,,,,,100,,1500
,,,,,,,,,,,,,,,,,,,,250,,2000
XP10_27_HuntMonster,1027,102,1,,,,,,,,W01_OA02,,DragonlingStrongJumper,W01_OA02,,,,,,15,,1000
,,,,,,,,,,,,,,,,,,,,30,,1500
,,,,,,,,,,,,,,,,,,,,80,,2000
XP10_30_HuntMonster,1030,102,1,,,,,,,,W01_OA02,,ShootingPlant,W01_OA02,,,,,,8,,1000
,,,,,,,,,,,,,,,,,,,,20,,1500
,,,,,,,,,,,,,,,,,,,,50,,2000
XP10_33_HuntMonster,1033,102,1,,,,,,,,W01_OA02,,DragonlingBossEasyOpen,W01_OA02,,,,,,6,,1000
,,,,,,,,,,,,,,,,,,,,15,,1500
,,,,,,,,,,,,,,,,,,,,40,,2000
XP10_36_FindChest,1036,103,2,,,,,,,,W02_OA01,,,W02_OA01,,,,,,10,,1000
XP10_37_HuntMap,1037,103,1,,,,,,,,W02_OA01,,,W02_OA01,,,,,,2000,,1000
,,,,,,,,,,,,,,,,,,,,6000,,1500
,,,,,,,,,,,,,,,,,,,,10000,,2000
XP10_40_HuntMonster,1040,103,1,,,,,,,,W02_OA01,,BeetleStrongKnight,W02_OA01,,,,,,30,,1000
,,,,,,,,,,,,,,,,,,,,80,,1500
,,,,,,,,,,,,,,,,,,,,140,,2000
XP10_43_HuntMonster,1043,103,1,,,,,,,,W02_OA01,,BeetleStrongRanged,W02_OA01,,,,,,20,,1000
,,,,,,,,,,,,,,,,,,,,60,,1500
,,,,,,,,,,,,,,,,,,,,100,,2000
XP10_46_HuntMonster,1046,103,1,,,,,,,,W02_OA01,,RetreatingBeetle,W02_OA01,,,,,,30,,1000
,,,,,,,,,,,,,,,,,,,,80,,1500
,,,,,,,,,,,,,,,,,,,,140,,2000
XP10_49_HuntBoss,1049,103,1,,,,,,,,W02_OA01,,BeetleVault,W02_OA01,,,,,,8,,1000
,,,,,,,,,,,,,,,,,,,,25,,1500
,,,,,,,,,,,,,,,,,,,,40,,2000
XP10_52_HuntBoss,1052,103,1,,,,,,,,W02_OA01,,BeetleBossEasyOpen,W02_OA01,,,,,,8,,1000
,,,,,,,,,,,,,,,,,,,,25,,1500
,,,,,,,,,,,,,,,,,,,,40,,2000
XP12_2_HuntMap,1202,104,1,,,,,,,,W01_OA03,,,W01_OA03,,,,,,1000,,1000
,,,,,,,,,,,,,,,,,,,,2500,,1500
,,,,,,,,,,,,,,,,,,,,4500,,2000
XP12_1_FindChest,1201,104,2,,,,,,,,W01_OA03,,,W01_OA03,,,,,,10,,1000
XP12_5_Protect,1205,104,1,,,,,,,,W01_OA03,,DragonlingEscort,W01_OA03,,,,,,20,,1000
,,,,,,,,,,,,,,,,,,,,60,,1500
,,,,,,,,,,,,,,,,,,,,100,,2000
XP12_8_HuntMonster,1208,104,1,,,,,,,,W01_OA03,,DragonlingStrongMelee,W01_OA03,,,,,,30,,1000
,,,,,,,,,,,,,,,,,,,,80,,1500
,,,,,,,,,,,,,,,,,,,,140,,2000
XP12_11_HuntMonster,1211,104,1,,,,,,,,W01_OA03,,DragonlingStrongCharger,W01_OA03,,,,,,30,,1000
,,,,,,,,,,,,,,,,,,,,80,,1500
,,,,,,,,,,,,,,,,,,,,140,,2000
XP12_14_HuntMonster,1214,104,1,,,,,,,,W01_OA03,,ShootingPlantHard,W01_OA03,,,,,,10,,1000
,,,,,,,,,,,,,,,,,,,,30,,1500
,,,,,,,,,,,,,,,,,,,,60,,2000
XP12_17_HuntBoss,1217,104,1,,,,,,,,W01_OA03,,DragonlingDungeonBossOpen,W01_OA03,,,,,,8,,1000
,,,,,,,,,,,,,,,,,,,,25,,1500
,,,,,,,,,,,,,,,,,,,,40,,2000
XP12_20_HuntBoss,1220,104,1,,,,,,,,W01_OA03,,DragonlingBossSpiritOpen,W01_OA03,,,,,,1,,1000
,,,,,,,,,,,,,,,,,,,,3,,1500
,,,,,,,,,,,,,,,,,,,,6,,2000
XP12_23_ChampionMap,1223,104,5,,,,,,,,W01_OA03,,,W01_OA03,,,,,,8,,1000
,,,,,,,,,,,,,,,,,,,,25,,1500
,,,,,,,,,,,,,,,,,,,,40,,2000
